Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Product,Category,Quantity,Unit_Price,Sales_Amount,Payment_Mode,Order_Status
ORD00032,2025-03-22,CUST0030,Suresh,Bangalore,Karnataka,Desk,Furniture,1,13006.53,13006.53,UPI,Cancelled
ORD00033,2025-07-26,CUST0062,Aditya,Chennai,Tamil Nadu,Mobile Phone,Electronics,2,22770.94,45541.88,Credit Card,Delivered
ORD00034,2025-10-26,CUST0290,Suresh,Kochi,Kerala,Desk,Furniture,1,10996.76,10996.76,Debit Card,Returned
ORD00035,2025-07-22,CUST0068,Sneha,Pune,Maharashtra,Headphones,Accessories,2,2407.09,4814.18,Net Banking,Delivered
ORD00036,2025-02-21,CUST0038,Meena,Delhi,Delhi,Mobile Phone,Electronics,1,22533.1,22533.1,Credit Card,Cancelled
ORD00037,2025-05-06,CUST0190,Sneha,Jaipur,Rajasthan,Smartwatch,Accessories,1,4849.01,4849.01,Credit Card,Delivered
ORD00038,2025-09-28,CUST0005,Meena,Ahmedabad,Gujarat,Office Chair,Furniture,2,9201.02,18402.04,Debit Card,Returned
ORD00039,2025-10-11,CUST0080,Vijay,Hyderabad,Telangana,Tablet,Electronics,1,19402.97,19402.97,Debit Card,Returned
ORD00040,2025-05-16,CUST0259,Kavya,Kochi,Kerala,Headphones,Accessories,2,2351.8,4703.6,Debit Card,Returned
ORD00041,2025-01-02,CUST0171,Kiran,Bangalore,Karnataka,Mobile Phone,Electronics,2,23449.13,46898.26,Debit Card,Delivered
ORD00042,2025-01-05,CUST0058,Arun,Chennai,Tamil Nadu,Power Bank,Accessories,1,1561.7,1561.7,Credit Card,Cancelled
ORD00043,2025-08-09,CUST0066,Priya,Jaipur,Rajasthan,Laptop,Electronics,3,55907.61,167722.83,Debit Card,Delivered
ORD00044,2025-12-08,CUST0053,Pooja,Delhi,Delhi,Laptop,Electronics,3,51810.84,155432.52,Cash on Delivery,Delivered
ORD00045,2025-03-25,CUST0091,Divya,Kolkata,West Bengal,Desk,Furniture,2,13021.83,26043.66,UPI,Delivered
ORD00046,2025-12-09,CUST0128,Vijay,Chennai,Tamil Nadu,Power Bank,Accessories,4,1584.72,6338.88,Credit Card,Delivered
ORD00047,2025-04-13,CUST0236,Pooja,Hyderabad,Telangana,Mouse,Accessories,3,964.55,2893.65,Debit Card,Delivered
ORD00048,2025-05-23,CUST0036,Vijay,Mumbai,Maharashtra,Headphones,Accessories,1,2346.56,2346.56,Debit Card,Delivered
ORD00049,2025-01-15,CUST0060,Vijay,Jaipur,Rajasthan,Mouse,Accessories,2,961.86,1923.72,Credit Card,Delivered
ORD00050,2025-06-10,CUST0224,Swathi,Kochi,Kerala,Smartwatch,Accessories,1,5096.57,5096.57,Cash on Delivery,Delivered
ORD00051,2025-12-29,CUST0224,Ravi,Hyderabad,Telangana,Mouse,Accessories,3,844.21,2532.63,Cash on Delivery,Delivered
ORD00052,2025-04-11,CUST0187,Divya,Jaipur,Rajasthan,Backpack,Lifestyle,2,1887.1,3774.2,UPI,Returned
ORD00053,2025-06-03,CUST0260,Sneha,Delhi,Delhi,Desk,Furniture,1,12835.24,12835.24,Net Banking,Returned
ORD00054,2025-08-04,CUST0195,Anjali,Delhi,Delhi,Mouse,Accessories,2,909.79,1819.58,Cash on Delivery,Delivered
ORD00055,2025-05-27,CUST0108,Divya,Kochi,Kerala,Smartwatch,Accessories,1,5333.73,5333.73,Cash on Delivery,Delivered
ORD00056,2025-04-20,CUST0262,Kavya,Kochi,Kerala,Backpack,Lifestyle,1,1779.04,1779.04,Credit Card,Returned
ORD00057,2025-02-17,CUST0121,Sneha,Hyderabad,Telangana,Smartwatch,Accessories,1,5132.94,5132.94,Credit Card,Delivered
ORD00058,2025-11-09,CUST0038,Nikhil,Mumbai,Maharashtra,Tablet,Electronics,1,17081.43,17081.43,Net Banking,Delivered
ORD00059,2025-05-05,CUST0076,Ravi,Kochi,Kerala,Headphones,Accessories,2,2441.99,4883.98,UPI,Delivered
ORD00060,2025-08-26,CUST0026,Meena,Kolkata,West Bengal,Headphones,Accessories,1,2728.98,2728.98,Credit Card,Cancelled
ORD00061,2025-10-14,CUST0163,Nikhil,Hyderabad,Telangana,Monitor,Electronics,1,13901.0,13901.0,Cash on Delivery,Cancelled
ORD00062,2025-09-01,CUST0231,Vijay,Jaipur,Rajasthan,Mouse,Accessories,3,908.62,2725.86,Credit Card,Delivered
ORD00063,2025-02-09,CUST0147,Neha,Pune,Maharashtra,Office Chair,Furniture,1,8530.64,8530.64,Debit Card,Delivered
ORD00064,2025-04-29,CUST0197,Kiran,Delhi,Delhi,Keyboard,Accessories,3,1649.01,4947.03,Credit Card,Delivered
ORD00065,2025-02-01,CUST0106,Divya,Hyderabad,Telangana,Mouse,Accessories,1,907.67,907.67,Net Banking,Delivered
ORD00066,2025-07-14,CUST0245,Ravi,Kochi,Kerala,Power Bank,Accessories,1,1614.2,1614.2,Debit Card,Cancelled
ORD00067,2025-10-03,CUST0280,Swathi,Pune,Maharashtra,Mouse,Accessories,3,981.62,2944.86,Credit Card,Delivered
ORD00068,2025-06-22,CUST0208,Anjali,Ahmedabad,Gujarat,Headphones,Accessories,1,2492.82,2492.82,Net Banking,Delivered
ORD00069,2025-10-16,CUST0014,Arun,Chennai,Tamil Nadu,Desk,Furniture,1,12976.63,12976.63,Net Banking,Cancelled
ORD00070,2025-04-19,CUST0233,Amit,Chennai,Tamil Nadu,Monitor,Electronics,1,13328.44,13328.44,Debit Card,Delivered
ORD00071,2025-02-11,CUST0241,Ravi,Kolkata,West Bengal,Smartwatch,Accessories,2,5331.92,10663.84,Cash on Delivery,Delivered
ORD00072,2025-01-21,CUST0016,Neha,Bangalore,Karnataka,Keyboard,Accessories,1,1644.7,1644.7,Credit Card,Returned
ORD00073,2025-02-28,CUST0289,Rahul,Bangalore,Karnataka,Desk,Furniture,1,11102.93,11102.93,Net Banking,Returned
ORD00074,2025-02-28,CUST0084,Sneha,Pune,Maharashtra,Keyboard,Accessories,1,1838.61,1838.61,UPI,Returned
ORD00075,2025-07-23,CUST0102,Arun,Kochi,Kerala,Laptop,Electronics,4,55833.76,223335.04,Cash on Delivery,Delivered
ORD00076,2025-11-04,CUST0062,Aditya,Mumbai,Maharashtra,Mobile Phone,Electronics,2,21126.96,42253.92,UPI,Returned
ORD00077,2025-11-28,CUST0175,Ravi,Delhi,Delhi,Office Chair,Furniture,1,8767.03,8767.03,Net Banking,Cancelled
ORD00078,2025-12-29,CUST0079,Divya,Ahmedabad,Gujarat,Mobile Phone,Electronics,1,21393.63,21393.63,Credit Card,Delivered
ORD00079,2025-09-05,CUST0239,Divya,Jaipur,Rajasthan,Backpack,Lifestyle,1,1910.95,1910.95,Cash on Delivery,Cancelled
ORD00080,2025-05-23,CUST0231,Neha,Pune,Maharashtra,Keyboard,Accessories,3,1919.06,5757.18,Net Banking,Delivered
ORD00081,2025-06-16,CUST0094,Kavya,Kochi,Kerala,Desk,Furniture,2,11607.35,23214.7,Credit Card,Delivered
ORD00082,2025-05-22,CUST0285,Ravi,Delhi,Delhi,Smartwatch,Accessories,1,5380.32,5380.32,Cash on Delivery,Returned
ORD00083,2025-05-04,CUST0244,Kavya,Mumbai,Maharashtra,Mobile Phone,Electronics,1,21588.28,21588.28,Net Banking,Cancelled
ORD00084,2025-06-06,CUST0298,Pooja,Bangalore,Karnataka,Mobile Phone,Electronics,1,21579.36,21579.36,Net Banking,Delivered
ORD00085,2025-06-19,CUST0181,Nikhil,Jaipur,Rajasthan,Office Chair,Furniture,1,9893.94,9893.94,Debit Card,Cancelled
ORD00086,2025-03-03,CUST0275,Anjali,Pune,Maharashtra,Smartwatch,Accessories,1,5221.28,5221.28,Credit Card,Delivered
ORD00087,2025-11-02,CUST0145,Sita,Mumbai,Maharashtra,Power Bank,Accessories,1,1567.38,1567.38,Credit Card,Cancelled
ORD00088,2025-10-01,CUST0065,Vijay,Pune,Maharashtra,Headphones,Accessories,1,2401.13,2401.13,UPI,Returned
ORD00089,2025-09-09,CUST0053,Ravi,Bangalore,Karnataka,Office Chair,Furniture,1,9799.36,9799.36,Cash on Delivery,Returned
ORD00090,2025-05-10,CUST0245,Sita,Pune,Maharashtra,Monitor,Electronics,1,13553.98,13553.98,UPI,Delivered
ORD00091,2025-03-19,CUST0077,Aditya,Kolkata,West Bengal,Monitor,Electronics,1,14362.45,14362.45,Debit Card,Delivered
ORD00092,2025-11-02,CUST0116,Suresh,Hyderabad,Telangana,Headphones,Accessories,1,2632.22,2632.22,Net Banking,Cancelled
ORD00093,2025-06-06,CUST0292,Swathi,Ahmedabad,Gujarat,Monitor,Electronics,1,14247.87,14247.87,UPI,Delivered
ORD00094,2025-04-19,CUST0136,Arun,Kochi,Kerala,Power Bank,Accessories,1,1578.82,1578.82,Credit Card,Returned
ORD00095,2025-08-19,CUST0241,Sneha,Mumbai,Maharashtra,Tablet,Electronics,2,16763.52,33527.04,UPI,Delivered
ORD00096,2025-02-06,CUST0120,Vijay,Mumbai,Maharashtra,Smartwatch,Accessories,2,5202.99,10405.98,Cash on Delivery,Delivered
ORD00097,2025-05-17,CUST0073,Arun,Mumbai,Maharashtra,Mouse,Accessories,1,850.47,850.47,UPI,Delivered
ORD00098,2025-08-13,CUST0064,Nikhil,Chennai,Tamil Nadu,Smartwatch,Accessories,2,5324.24,10648.48,Debit Card,Delivered
ORD00099,2025-11-03,CUST0021,Divya,Kolkata,West Bengal,Smartwatch,Accessories,1,4993.8,4993.8,Debit Card,Delivered
ORD00100,2025-10-22,CUST0011,Vijay,Kochi,Kerala,Smartwatch,Accessories,1,4728.92,4728.92,Cash on Delivery,Returned
ORD00101,2025-04-03,CUST0300,Divya,Bangalore,Karnataka,Tablet,Electronics,1,18545.43,18545.43,Net Banking,Delivered
ORD00102,2025-02-23,CUST0083,Amit,Hyderabad,Telangana,Monitor,Electronics,1,13533.26,13533.26,Net Banking,Returned
ORD00103,2025-01-19,CUST0233,Arun,Ahmedabad,Gujarat,Smartwatch,Accessories,2,4900.45,9800.9,Debit Card,Cancelled
ORD00104,2025-01-01,CUST0278,Nikhil,Pune,Maharashtra,Keyboard,Accessories,1,1898.12,1898.12,Net Banking,Cancelled
ORD00105,2025-11-17,CUST0227,Priya,Bangalore,Karnataka,Headphones,Accessories,1,2561.32,2561.32,Credit Card,Delivered
ORD00106,2025-09-06,CUST0063,Ravi,Pune,Maharashtra,Office Chair,Furniture,1,8618.45,8618.45,Cash on Delivery,Returned
ORD00107,2025-07-28,CUST0048,Neha,Mumbai,Maharashtra,Power Bank,Accessories,1,1515.25,1515.25,UPI,Cancelled
ORD00108,2025-05-30,CUST0261,Vijay,Ahmedabad,Gujarat,Mobile Phone,Electronics,2,20477.47,40954.94,Net Banking,Returned
ORD00109,2025-04-08,CUST0261,Kiran,Ahmedabad,Gujarat,Monitor,Electronics,1,14143.54,14143.54,UPI,Delivered
ORD00110,2025-01-02,CUST0145,Sneha,Pune,Maharashtra,Mouse,Accessories,1,951.79,951.79,Cash on Delivery,Delivered
ORD00111,2025-09-05,CUST0177,Amit,Kochi,Kerala,Backpack,Lifestyle,1,1673.49,1673.49,Cash on Delivery,Cancelled
ORD00112,2025-12-24,CUST0123,Aditya,Jaipur,Rajasthan,Mouse,Accessories,1,867.92,867.92,Net Banking,Delivered
ORD00113,2025-07-15,CUST0198,Kiran,Mumbai,Maharashtra,Mouse,Accessories,1,944.05,944.05,Net Banking,Returned
ORD00114,2025-08-14,CUST0052,Suresh,Bangalore,Karnataka,Tablet,Electronics,1,18324.65,18324.65,Net Banking,Delivered
ORD00115,2025-02-08,CUST0241,Vijay,Bangalore,Karnataka,Power Bank,Accessories,1,1611.28,1611.28,Debit Card,Delivered
ORD00116,2025-12-12,CUST0274,Rohit,Kochi,Kerala,Power Bank,Accessories,1,1374.09,1374.09,Debit Card,Delivered
ORD00117,2025-12-17,CUST0148,Neha,Ahmedabad,Gujarat,Office Chair,Furniture,1,8223.16,8223.16,UPI,Returned
ORD00118,2025-08-16,CUST0086,Sneha,Kolkata,West Bengal,Mobile Phone,Electronics,2,22897.12,45794.24,UPI,Delivered
ORD00119,2025-08-09,CUST0075,Neha,Bangalore,Karnataka,Keyboard,Accessories,2,1725.61,3451.22,Cash on Delivery,Delivered
ORD00120,2025-02-10,CUST0196,Swathi,Kolkata,West Bengal,Desk,Furniture,2,11232.14,22464.28,Credit Card,Delivered
ORD00121,2025-08-24,CUST0131,Ravi,Ahmedabad,Gujarat,Desk,Furniture,1,11906.76,11906.76,Net Banking,Delivered
ORD00122,2025-10-28,CUST0154,Divya,Pune,Maharashtra,Backpack,Lifestyle,1,1646.59,1646.59,Debit Card,Delivered
ORD00123,2025-02-24,CUST0122,Rohit,Ahmedabad,Gujarat,Smartwatch,Accessories,1,4884.69,4884.69,Cash on Delivery,Delivered
ORD00124,2025-12-04,CUST0203,Vijay,Delhi,Delhi,Desk,Furniture,1,12478.27,12478.27,UPI,Delivered
ORD00125,2025-09-12,CUST0147,Neha,Kochi,Kerala,Backpack,Lifestyle,2,1970.5,3941.0,Cash on Delivery,Cancelled
ORD00126,2025-12-04,CUST0071,Sita,Delhi,Delhi,Headphones,Accessories,2,2560.45,5120.9,UPI,Returned
ORD00127,2025-02-16,CUST0152,Amit,Pune,Maharashtra,Monitor,Electronics,1,13621.61,13621.61,Net Banking,Delivered
ORD00128,2025-09-29,CUST0257,Vijay,Chennai,Tamil Nadu,Headphones,Accessories,1,2519.7,2519.7,Credit Card,Delivered
ORD00129,2025-02-28,CUST0240,Arun,Pune,Maharashtra,Monitor,Electronics,4,13426.4,53705.6,Credit Card,Delivered
ORD00130,2025-07-07,CUST0047,Rohit,Mumbai,Maharashtra,Backpack,Lifestyle,2,1972.78,3945.56,UPI,Cancelled
ORD00131,2025-12-11,CUST0135,Aditya,Pune,Maharashtra,Office Chair,Furniture,1,8763.45,8763.45,Net Banking,Returned
ORD00132,2025-10-15,CUST0168,Swathi,Delhi,Delhi,Mobile Phone,Electronics,2,21874.5,43749.0,Credit Card,Cancelled
ORD00133,2025-11-29,CUST0210,Sita,Hyderabad,Telangana,Backpack,Lifestyle,3,1947.38,5842.14,Credit Card,Delivered
ORD00134,2025-05-01,CUST0276,Kiran,Bangalore,Karnataka,Laptop,Electronics,1,54918.87,54918.87,Net Banking,Delivered
ORD00135,2025-08-03,CUST0080,Divya,Ahmedabad,Gujarat,Keyboard,Accessories,2,1887.53,3775.06,UPI,Cancelled
ORD00136,2025-12-20,CUST0190,Rahul,Ahmedabad,Gujarat,Desk,Furniture,1,13083.65,13083.65,Net Banking,Delivered
ORD00137,2025-07-08,CUST0279,Pooja,Ahmedabad,Gujarat,Headphones,Accessories,3,2299.68,6899.04,UPI,Returned
ORD00138,2025-02-16,CUST0109,Swathi,Kolkata,West Bengal,Smartwatch,Accessories,1,4622.16,4622.16,UPI,Delivered
ORD00139,2025-04-16,CUST0036,Meena,Bangalore,Karnataka,Keyboard,Accessories,1,1665.33,1665.33,Credit Card,Cancelled
ORD00140,2025-11-02,CUST0002,Vijay,Kochi,Kerala,Headphones,Accessories,3,2366.5,7099.5,Credit Card,Delivered
ORD00141,2025-01-14,CUST0068,Ravi,Chennai,Tamil Nadu,Office Chair,Furniture,1,8414.09,8414.09,Debit Card,Returned
ORD00142,2025-03-06,CUST0216,Suresh,Mumbai,Maharashtra,Desk,Furniture,1,11218.19,11218.19,UPI,Delivered
ORD00143,2025-02-25,CUST0232,Suresh,Hyderabad,Telangana,Monitor,Electronics,1,13613.71,13613.71,Credit Card,Cancelled
ORD00144,2025-09-24,CUST0155,Nikhil,Kochi,Kerala,Laptop,Electronics,2,59496.27,118992.54,UPI,Returned
ORD00145,2025-09-09,CUST0228,Arun,Bangalore,Karnataka,Monitor,Electronics,3,13793.57,41380.71,UPI,Delivered
ORD00146,2025-11-21,CUST0300,Meena,Delhi,Delhi,Desk,Furniture,1,11102.86,11102.86,Debit Card,Cancelled
ORD00147,2025-08-09,CUST0051,Sita,Kolkata,West Bengal,Desk,Furniture,1,11888.92,11888.92,Cash on Delivery,Cancelled
ORD00148,2025-08-21,CUST0205,Divya,Mumbai,Maharashtra,Mouse,Accessories,1,851.13,851.13,UPI,Delivered
ORD00149,2025-12-18,CUST0243,Arun,Delhi,Delhi,Mouse,Accessories,1,855.88,855.88,UPI,Delivered
ORD00150,2025-03-08,CUST0285,Priya,Hyderabad,Telangana,Mobile Phone,Electronics,1,23076.19,23076.19,Cash on Delivery,Delivered
ORD00151,2025-12-07,CUST0217,Priya,Jaipur,Rajasthan,Office Chair,Furniture,1,8320.02,8320.02,Debit Card,Delivered
ORD00152,2025-03-21,CUST0247,Neha,Kochi,Kerala,Smartwatch,Accessories,1,5077.92,5077.92,UPI,Delivered
ORD00153,2025-04-26,CUST0220,Meena,Delhi,Delhi,Office Chair,Furniture,1,9472.69,9472.69,Cash on Delivery,Cancelled
ORD00154,2025-12-22,CUST0137,Ravi,Kochi,Kerala,Backpack,Lifestyle,2,1629.45,3258.9,Credit Card,Returned
ORD00155,2025-01-04,CUST0093,Kiran,Pune,Maharashtra,Power Bank,Accessories,2,1626.46,3252.92,Cash on Delivery,Delivered
ORD00156,2025-02-16,CUST0272,Rahul,Kolkata,West Bengal,Mobile Phone,Electronics,1,22585.96,22585.96,Net Banking,Delivered
ORD00157,2025-06-16,CUST0291,Swathi,Kolkata,West Bengal,Monitor,Electronics,1,13636.15,13636.15,UPI,Returned
ORD00158,2025-02-11,CUST0140,Nikhil,Bangalore,Karnataka,Tablet,Electronics,1,18424.22,18424.22,Net Banking,Returned
ORD00159,2025-02-28,CUST0177,Divya,Ahmedabad,Gujarat,Desk,Furniture,1,11455.6,11455.6,UPI,Cancelled
ORD00160,2025-06-07,CUST0024,Neha,Pune,Maharashtra,Backpack,Lifestyle,2,1795.19,3590.38,Net Banking,Returned
ORD00161,2025-03-12,CUST0131,Sneha,Kochi,Kerala,Laptop,Electronics,1,52815.61,52815.61,Debit Card,Delivered
ORD00162,2025-07-14,CUST0273,Neha,Hyderabad,Telangana,Laptop,Electronics,1,54237.21,54237.21,Cash on Delivery,Delivered
ORD00163,2025-01-22,CUST0224,Ravi,Jaipur,Rajasthan,Backpack,Lifestyle,3,1645.95,4937.85,Net Banking,Returned
ORD00164,2025-11-24,CUST0214,Sneha,Hyderabad,Telangana,Keyboard,Accessories,2,1826.42,3652.84,UPI,Returned
ORD00165,2025-08-24,CUST0186,Arun,Kolkata,West Bengal,Laptop,Electronics,4,51390.6,205562.4,Net Banking,Cancelled
ORD00166,2025-07-22,CUST0159,Amit,Hyderabad,Telangana,Headphones,Accessories,1,2450.22,2450.22,Credit Card,Delivered
ORD00167,2025-09-19,CUST0100,Pooja,Delhi,Delhi,Tablet,Electronics,1,18479.61,18479.61,Debit Card,Cancelled
ORD00168,2025-11-05,CUST0079,Arun,Chennai,Tamil Nadu,Headphones,Accessories,1,2377.98,2377.98,Credit Card,Delivered
ORD00169,2025-12-15,CUST0290,Swathi,Ahmedabad,Gujarat,Monitor,Electronics,2,14727.66,29455.32,Debit Card,Delivered
ORD00170,2025-06-05,CUST0141,Aditya,Delhi,Delhi,Tablet,Electronics,1,17888.12,17888.12,UPI,Returned
ORD00171,2025-01-30,CUST0189,Sneha,Delhi,Delhi,Office Chair,Furniture,1,8931.14,8931.14,UPI,Delivered
ORD00172,2025-10-11,CUST0022,Nikhil,Hyderabad,Telangana,Desk,Furniture,2,11722.76,23445.52,Cash on Delivery,Cancelled
ORD00173,2025-08-19,CUST0053,Amit,Mumbai,Maharashtra,Keyboard,Accessories,2,1800.49,3600.98,UPI,Delivered
ORD00174,2025-08-13,CUST0269,Suresh,Jaipur,Rajasthan,Backpack,Lifestyle,1,1709.19,1709.19,Cash on Delivery,Delivered
ORD00175,2025-06-23,CUST0027,Amit,Chennai,Tamil Nadu,Keyboard,Accessories,1,1721.84,1721.84,UPI,Delivered
ORD00176,2025-12-03,CUST0077,Amit,Delhi,Delhi,Mobile Phone,Electronics,2,21500.88,43001.76,UPI,Delivered
ORD00177,2025-12-24,CUST0201,Kiran,Kochi,Kerala,Backpack,Lifestyle,1,1745.94,1745.94,Cash on Delivery,Returned
ORD00178,2025-03-07,CUST0270,Arun,Hyderabad,Telangana,Smartwatch,Accessories,2,5143.49,10286.98,Net Banking,Delivered
ORD00179,2025-06-24,CUST0249,Rahul,Jaipur,Rajasthan,Keyboard,Accessories,1,1731.19,1731.19,Credit Card,Delivered
ORD00180,2025-09-17,CUST0277,Suresh,Chennai,Tamil Nadu,Tablet,Electronics,1,19239.94,19239.94,UPI,Delivered
ORD00181,2025-04-03,CUST0085,Nikhil,Delhi,Delhi,Desk,Furniture,1,11704.13,11704.13,UPI,Delivered
ORD00182,2025-11-09,CUST0146,Nikhil,Kolkata,West Bengal,Keyboard,Accessories,2,1705.51,3411.02,Credit Card,Delivered
ORD00183,2025-04-10,CUST0189,Aditya,Jaipur,Rajasthan,Headphones,Accessories,1,2654.31,2654.31,Net Banking,Delivered
ORD00184,2025-03-24,CUST0103,Swathi,Ahmedabad,Gujarat,Smartwatch,Accessories,2,5002.91,10005.82,Credit Card,Delivered
ORD00185,2025-02-22,CUST0265,Sita,Pune,Maharashtra,Laptop,Electronics,2,59115.29,118230.58,Debit Card,Cancelled
ORD00186,2025-08-12,CUST0047,Neha,Hyderabad,Telangana,Tablet,Electronics,1,19459.1,19459.1,Net Banking,Delivered
ORD00187,2025-05-01,CUST0198,Arun,Delhi,Delhi,Laptop,Electronics,1,53860.99,53860.99,Debit Card,Delivered
ORD00188,2025-11-29,CUST0172,Kiran,Mumbai,Maharashtra,Laptop,Electronics,1,50589.91,50589.91,Credit Card,Returned
ORD00189,2025-12-28,CUST0241,Nikhil,Bangalore,Karnataka,Smartwatch,Accessories,3,4972.45,14917.35,Cash on Delivery,Delivered
ORD00190,2025-10-08,CUST0271,Divya,Bangalore,Karnataka,Mobile Phone,Electronics,1,20748.88,20748.88,UPI,Delivered
ORD00191,2025-11-24,CUST0235,Arun,Pune,Maharashtra,Headphones,Accessories,1,2273.87,2273.87,UPI,Delivered
ORD00192,2025-05-04,CUST0074,Sneha,Ahmedabad,Gujarat,Desk,Furniture,1,12316.69,12316.69,Net Banking,Cancelled
ORD00193,2025-12-07,CUST0044,Suresh,Bangalore,Karnataka,Desk,Furniture,1,12169.59,12169.59,Debit Card,Delivered
ORD00194,2025-10-11,CUST0011,Rohit,Hyderabad,Telangana,Office Chair,Furniture,1,9515.54,9515.54,Net Banking,Cancelled
ORD00195,2025-01-09,CUST0183,Arun,Bangalore,Karnataka,Backpack,Lifestyle,1,1754.39,1754.39,Debit Card,Returned
ORD00196,2025-06-20,CUST0069,Priya,Mumbai,Maharashtra,Power Bank,Accessories,2,1381.1,2762.2,Debit Card,Cancelled
ORD00197,2025-08-26,CUST0246,Anjali,Jaipur,Rajasthan,Keyboard,Accessories,3,1683.03,5049.09,Credit Card,Returned
ORD00198,2025-04-14,CUST0023,Rahul,Hyderabad,Telangana,Power Bank,Accessories,2,1487.3,2974.6,UPI,Delivered
ORD00199,2025-08-31,CUST0130,Priya,Delhi,Delhi,Smartwatch,Accessories,1,5489.12,5489.12,Credit Card,Cancelled
